structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,donor,sample,name,parent_structure_id,hemisphere,graph_order,structure_id_path,color_hex_triplet
4031,2,126426439,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",1395868,123,100,36,-32,55,9,donor14380,donor14380_sample_389,"middle frontal gyrus, left, inferior bank of gyrus",4029,L,47,/4005/4006/4007/4008/4009/4028/4029/4031/,E8CD59
4244,9,126435736,CX,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",1408329,112,134,109,-21,-18,-25,donor14380,donor14380_sample_429,"parahippocampal gyrus, left, lateral bank of gyrus",4243,L,156,/4005/4006/4007/4008/4219/4242/4243/4244/,BF934C
4270,10,126435712,CX,LIG,"long insular gyri, left",113796448,145,93,117,-54,-26,16,donor14380,donor14380_sample_430,"long insular gyri, left",4269,L,93,/4005/4006/4007/4008/4268/4269/4270/,FFF161
4169,10,126435886,CX,TG,"transverse gyri, left",113796449,159,100,117,-68,-26,9,donor14380,donor14380_sample_431,"transverse gyri, left",4168,L,309,/4005/4006/4007/4008/4132/4168/4169/,FF9F7F
4135,10,126435870,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",113796450,165,103,117,-74,-26,6,donor14380,donor14380_sample_432,"superior temporal gyrus, left, lateral bank of gyrus",4134,L,294,/4005/4006/4007/4008/4132/4133/4134/4135/,FF997F
4107,10,126435854,CX,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",113796219,157,95,117,-66,-26,14,donor14380,donor14380_sample_433,"supramarginal gyrus, left, inferior bank of gyrus",4105,L,221,/4005/4006/4007/4008/4084/4103/4104/4105/4107/,FF5D62
4106,10,126435838,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",113796220,163,82,117,-72,-26,27,donor14380,donor14380_sample_434,"supramarginal gyrus, left, superior bank of gyrus",4105,L,220,/4005/4006/4007/4008/4084/4103/4104/4105/4106/,FF5D62
4090,10,126435822,CX,PoG-pcs,"postcentral gyrus, left, bank of the posterior central sulcus",113796447,159,71,117,-68,-26,38,donor14380,donor14380_sample_435,"postcentral gyrus, left, bank of the posterior central sulcus",4086,L,237,/4005/4006/4007/4008/4084/4085/4086/4090/,FF6C62
4244,10,126435728,CX,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",111793984,113,125,117,-22,-26,-16,donor14380,donor14380_sample_436,"parahippocampal gyrus, left, lateral bank of gyrus",4243,L,156,/4005/4006/4007/4008/4219/4242/4243/4244/,BF934C
4194,15,126435774,CX,LiG-str,"lingual gyrus, left, striate",112731695,96,101,171,-5,-80,8,donor14380,donor14380_sample_439,"lingual gyrus, left, striate",4192,L,182,/4005/4006/4007/4008/4180/4191/4192/4194/,E88051
4186,15,126435742,CX,Cun-pest,"cuneus, left, peristriate",112731693,94,87,171,-3,-80,22,donor14380,donor14380_sample_440,"cuneus, left, peristriate",4185,L,167,/4005/4006/4007/4008/4180/4184/4185/4186/,E87751
4238,12,126435726,CX,CgGr-i,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",113354940,108,108,138,-17,-47,1,donor14380,donor14380_sample_441,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",4236,L,117,/4005/4006/4007/4008/4219/4220/4235/4236/4238/,7F6933
4160,12,126435710,CX,FuG-cos,"fusiform gyrus, left, bank of cos",112191597,121,117,138,-30,-47,-8,donor14380,donor14380_sample_442,"fusiform gyrus, left, bank of cos",4157,L,262,/4005/4006/4007/4008/4132/4156/4157/4160/,FF877F
4159,12,126435884,CX,FuG-l,"fusiform gyrus, left, lateral bank of gyrus",112191598,121,122,138,-30,-47,-13,donor14380,donor14380_sample_443,"fusiform gyrus, left, lateral bank of gyrus",4157,L,261,/4005/4006/4007/4008/4132/4156/4157/4159/,FF877F
4245,11,126435868,CX,PHG-cos,"parahippocampal gyrus, left, bank of the cos",111795151,119,118,129,-28,-38,-9,donor14380,donor14380_sample_444,"parahippocampal gyrus, left, bank of the cos",4243,L,157,/4005/4006/4007/4008/4219/4242/4243/4245/,BF934C
4244,11,126435852,CX,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",111795150,105,112,129,-14,-38,-3,donor14380,donor14380_sample_445,"parahippocampal gyrus, left, lateral bank of gyrus",4243,L,156,/4005/4006/4007/4008/4219/4242/4243/4244/,BF934C
4160,11,126435836,CX,FuG-cos,"fusiform gyrus, left, bank of cos",111795152,121,122,129,-30,-38,-13,donor14380,donor14380_sample_446,"fusiform gyrus, left, bank of cos",4157,L,262,/4005/4006/4007/4008/4132/4156/4157/4160/,FF877F
4270,9,126435820,CX,LIG,"long insular gyri, left",1408375,133,113,110,-42,-19,-4,donor14380,donor14380_sample_447,"long insular gyri, left",4269,L,93,/4005/4006/4007/4008/4268/4269/4270/,FFF161
4178,9,126435804,CX,PLP,"planum polare, left",1408376,140,112,110,-49,-19,-3,donor14380,donor14380_sample_448,"planum polare, left",4177,L,287,/4005/4006/4007/4008/4132/4177/4178/,FF937F
4169,9,126435788,CX,TG,"transverse gyri, left",1408380,152,110,110,-61,-19,-1,donor14380,donor14380_sample_449,"transverse gyri, left",4168,L,309,/4005/4006/4007/4008/4132/4168/4169/,FF9F7F
4244,8,126435756,CX,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",1407839,105,138,98,-14,-7,-29,donor14380,donor14380_sample_450,"parahippocampal gyrus, left, lateral bank of gyrus",4243,L,156,/4005/4006/4007/4008/4219/4242/4243/4244/,BF934C
4106,12,126435740,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",112191640,134,56,139,-43,-48,53,donor14380,donor14380_sample_451,"supramarginal gyrus, left, superior bank of gyrus",4105,L,220,/4005/4006/4007/4008/4084/4103/4104/4105/4106/,FF5D62
4023,7,126435724,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",1407329,91,54,87,0,4,55,donor14380,donor14380_sample_452,"superior frontal gyrus, left, medial bank of gyrus",4022,L,83,/4005/4006/4007/4008/4009/4021/4022/4023/,E8D959
4015,8,126439253,CX,PrG-cs,"precentral gyrus, left, bank of the central sulcus",1407854,140,79,97,-49,-6,30,donor14380,donor14380_sample_453,"precentral gyrus, left, bank of the central sulcus",4011,L,75,/4005/4006/4007/4008/4009/4010/4011/4015/,E8D659
4149,8,126435708,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",1407819,129,149,98,-38,-7,-40,donor14380,donor14380_sample_454,"inferior temporal gyrus, left, bank of the its",4148,L,272,/4005/4006/4007/4008/4132/4147/4148/4149/,FF8D7F
4024,2,126439237,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",1395864,110,82,35,-19,56,27,donor14380,donor14380_sample_455,"superior frontal gyrus, left, lateral bank of gyrus",4022,L,84,/4005/4006/4007/4008/4009/4021/4022/4024/,E8D959
4215,13,141667089,CX,SOG-i,"superior occipital gyrus, left, inferior bank of gyrus",127562730,141,88,171,-50,-80,21,donor15496,donor15496_sample_1,"superior occipital gyrus, left, inferior bank of gyrus",4213,L,205,/4005/4006/4007/4008/4180/4212/4213/4215/,E88F51
4237,11,141667177,CX,CgGr-s,"cingulate gyrus, retrosplenial part, left, superior bank of gyrus",127512019,109,111,144,-18,-53,-2,donor15496,donor15496_sample_2,"cingulate gyrus, retrosplenial part, left, superior bank of gyrus",4236,L,116,/4005/4006/4007/4008/4219/4220/4235/4236/4237/,7F6933
4090,9,141667207,CX,PoG-pcs,"postcentral gyrus, left, bank of the posterior central sulcus",127050458,138,59,118,-47,-27,50,donor15496,donor15496_sample_3,"postcentral gyrus, left, bank of the posterior central sulcus",4086,L,237,/4005/4006/4007/4008/4084/4085/4086/4090/,FF6C62
4107,9,139409861,CX,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",127050410,159,79,119,-68,-28,30,donor15496,donor15496_sample_4,"supramarginal gyrus, left, inferior bank of gyrus",4105,L,221,/4005/4006/4007/4008/4084/4103/4104/4105/4107/,FF5D62
4106,9,139409845,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",127050409,149,64,119,-58,-28,45,donor15496,donor15496_sample_5,"supramarginal gyrus, left, superior bank of gyrus",4105,L,220,/4005/4006/4007/4008/4084/4103/4104/4105/4106/,FF5D62
4149,7,139409841,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",126525177,125,147,93,-34,-2,-38,donor15496,donor15496_sample_6,"inferior temporal gyrus, left, bank of the its",4148,L,272,/4005/4006/4007/4008/4132/4147/4148/4149/,FF8D7F
4142,7,139409825,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",126703433,154,126,94,-63,-3,-17,donor15496,donor15496_sample_7,"middle temporal gyrus, left, superior bank of gyrus",4141,L,281,/4005/4006/4007/4008/4132/4140/4141/4142/,FF907F
